,MONTH,SOURCE_SYS_CD,PRICE_TO_BP,BID_MARGIN_TOTAL,BID_MARGIN,BID_DISCOUNT,STOP_BIDS,BPCOPS,MISSING,COUNTRY,CONFIDENTIALITY,ROUTE_TO_MARKET,NON_COMPETITIVE_BID,OFF_SHORE_PMT_TERMS,BUNDLED_SOLUTION,CONTINGENCY_FEE,FOCUS,HW_SW,bid_id
22111,7,SQO,18874.5,6289.4248,24.9938,77.2172,0,0,0,SA,(null),(null),(null),(null),(null),(null),0,SW,9919318
22112,7,SQO,18874.5,6289.4248,24.9938,77.2172,0,0,0,SA,(null),(null),(null),(null),(null),(null),0,SW,9934023
22113,11,SQO,21023.1,2337.2781,10.0053,12.7125,0,0,0,AE,N,N,Y,N,Y,N,0,SW,9051865
22114,9,SQO,37314.43,12438.155,25,55.3168,0,0,0,SA,(null),(null),(null),(null),(null),(null),0,SW,10146781
22115,11,SQO,45016.3826,0,0,54.9595,0,0,0,PL,N,N,N,N,N,N,0,SW,9101942
22116,11,SQO,40514.7479,4501.5932,9.9999,59.4635,0,0,0,PL,N,N,N,N,N,N,0,SW,9112743
22117,11,SQO,40514.7479,4501.5932,9.9999,59.4635,0,0,0,PL,(null),(null),(null),(null),(null),(null),0,SW,9137870
22118,12,SQO,35717.09,3968.5255,9.9999,59.4635,0,0,0,PL,N,N,N,N,N,N,0,SW,9206893
22119,6,BH,296200.0,40390.8,12,99.76336,0,0,0,CN,N,N,N,N,N,N,1,HW,8500198409
22120,6,SQO,55515.5956,9796.8041,14.9999,83.85,0,0,0,CN,(null),(null),(null),(null),(null),(null),0,SW,9806783
22121,11,BH,51330.84,9058.35,15,76.37332,0,0,0,CN,N,N,N,N,N,N,0,HW,8500182043
22122,3,BH,63173.98,7019.3,10,94.36232,0,0,0,CN,N,N,N,N,N,N,0,HW,8500191539
22123,12,SQO,51428.4,5714.209,9.9999,60.3099,0,0,0,IT,N,N,N,N,Y,N,0,SW,9142620
22124,12,SQO,25454.5494,2828.2838,10,30.7,0,0,0,IT,N,Y,N,N,N,N,0,SW,9142965
22125,12,SQO,321811.3041,25128.5165,7.2429,9.205,0,0,0,IT,N,N,N,N,Y,N,0,SW,9142969
22126,12,SQO,16992.3947,1888.0438,10,37,0,0,0,IT,N,Y,N,N,N,N,0,SW,9143340
22127,12,SQO,22440.28,2493.3649,10,30.7,0,0,0,IT,N,N,N,N,Y,N,0,SW,9143388
22128,12,SQO,22092.4634,2454.7181,10,36.9999,0,0,0,IT,N,N,N,N,Y,N,0,SW,9143432
22129,12,SQO,34246.65,3805.1833,10,23.5,0,0,0,IT,N,N,N,N,Y,N,0,SW,9156941
22130,12,SQO,367226.6028,30235.3404,7.6071,23.1772,0,0,0,IT,N,N,N,N,Y,N,0,SW,9223447
22131,12,SQO,320197.2863,25005.0994,7.2436,9.1966,0,0,0,IT,N,N,N,N,Y,N,0,SW,9227773
22132,10,SQO,234423.8908,18549.5404,7.3326,7.3326,0,0,0,IT,N,N,N,N,N,N,0,SW,8946673
22133,10,SQO,18936.3972,2104.0441,10,46,0,0,0,IT,N,N,N,N,N,N,0,SW,9001246
22134,11,SQO,51428.4,5714.209,9.9999,60.3099,0,0,0,IT,N,N,N,N,N,N,0,SW,9004578
22135,11,SQO,18936.3972,2104.0441,10,46,0,0,0,IT,N,N,N,N,N,N,0,SW,9043045
22136,11,SQO,300705.7161,23538.5129,7.2595,9.3554,0,0,0,IT,N,N,N,N,N,N,0,SW,9089899
22137,11,SQO,300705.7161,23538.5129,7.2595,9.3554,0,0,0,IT,N,N,N,N,N,N,0,SW,9095602
22138,11,SQO,300705.7161,23538.5129,7.2595,9.3554,0,0,0,IT,N,N,N,N,N,N,0,SW,9096357
22139,11,SQO,27421.2685,3046.8076,10,46,0,0,0,IT,(null),(null),(null),(null),(null),(null),0,SW,9101956
22140,11,SQO,365032.1192,28503.3979,7.2429,9.205,0,0,0,IT,N,N,N,N,N,N,0,SW,9105135
22141,11,SQO,321811.3041,25128.5165,7.2429,9.205,0,0,0,IT,N,N,N,N,N,N,0,SW,9132022
22142,12,SQO,38846.797,4316.3107,10,23.5,0,0,0,IT,N,N,N,N,N,N,0,SW,9151164
22143,12,SQO,367226.6028,30235.3404,7.6071,23.1772,0,0,0,IT,N,N,N,N,N,N,0,SW,9162940
22144,12,SQO,320197.2863,25005.0994,7.2436,9.1966,0,0,0,IT,N,N,N,N,N,N,0,SW,9227858
22145,11,SQO,58336.4683,6481.7644,9.9999,60.3099,0,0,0,IT,N,N,N,N,N,N,0,SW,9089444
22146,11,SQO,321811.3041,25128.5165,7.2429,9.205,0,0,0,IT,N,N,N,N,N,N,0,SW,9090182
